age,education,marital-status,race,occupation
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,?
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,?
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,?
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,?
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,?
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Protective-serv
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,?
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,?
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Tech-support
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,?
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,?
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,?
<=80,College,Married,Person,Farming-fishing
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Transport-moving
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Machine-op-inspct
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Craft-repair
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Handlers-cleaners
<=80,College,Married,Person,?
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Sales
<=80,College,Married,Person,Prof-specialty
<=80,College,Married,Person,Adm-clerical
<=80,College,Married,Person,Other-service
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Exec-managerial
<=80,College,Married,Person,Craft-repair
